Timestamp,datetime,symbol,high,low,open,close,volume,Date,Time,High,Low,Open,Close,TotalVolume
1537887480,2018-09-25 22:58:00,EOSUSDT,5.1993,5.195,5.197,5.1985,5101.48,2018-09-25,22:58:00,5.1993,5.195,5.197,5.1985,510147
1537887540,2018-09-25 22:59:00,EOSUSDT,5.1998,5.1946,5.1963,5.1987,5092.63,2018-09-25,22:59:00,5.1998,5.1946,5.1963,5.1987,509263
1537887600,2018-09-25 23:00:00,EOSUSDT,5.1978,5.1943,5.1953,5.1978,8981.94,2018-09-25,23:00:00,5.1978,5.1943,5.1953,5.1978,898194
1537887660,2018-09-25 23:01:00,EOSUSDT,5.2006,5.1964,5.2006,5.1964,8189.19,2018-09-25,23:01:00,5.2006,5.1964,5.2006,5.1964,818919
1537887720,2018-09-25 23:02:00,EOSUSDT,5.2,5.1967,5.1985,5.1976,3470.22,2018-09-25,23:02:00,5.2,5.1967,5.1985,5.1976,347022
1537887780,2018-09-25 23:03:00,EOSUSDT,5.2062,5.1971,5.1971,5.1973,15114.46,2018-09-25,23:03:00,5.2062,5.1971,5.1971,5.1973,1511446
1537887840,2018-09-25 23:04:00,EOSUSDT,5.2007,5.1976,5.1992,5.1985,4881.54,2018-09-25,23:04:00,5.2007,5.1976,5.1992,5.1985,488154
1537887900,2018-09-25 23:05:00,EOSUSDT,5.2033,5.1977,5.1986,5.2033,5516.48,2018-09-25,23:05:00,5.2033,5.1977,5.1986,5.2033,551648
1537887960,2018-09-25 23:06:00,EOSUSDT,5.2059,5.2011,5.2041,5.2018,17823.43,2018-09-25,23:06:00,5.2059,5.2011,5.2041,5.2018,1782343
1537888020,2018-09-25 23:07:00,EOSUSDT,5.2051,5.2012,5.2031,5.2051,13227.8,2018-09-25,23:07:00,5.2051,5.2012,5.2031,5.2051,1322780
1537888080,2018-09-25 23:08:00,EOSUSDT,5.2051,5.2027,5.2044,5.2051,12791.12,2018-09-25,23:08:00,5.2051,5.2027,5.2044,5.2051,1279112
1537888140,2018-09-25 23:09:00,EOSUSDT,5.2048,5.197,5.203,5.2007,4857.43,2018-09-25,23:09:00,5.2048,5.197,5.203,5.2007,485743
1537888200,2018-09-25 23:10:00,EOSUSDT,5.2002,5.1867,5.1972,5.1918,11423.22,2018-09-25,23:10:00,5.2002,5.1867,5.1972,5.1918,1142322
1537888260,2018-09-25 23:11:00,EOSUSDT,5.1914,5.1802,5.1854,5.1802,9763.68,2018-09-25,23:11:00,5.1914,5.1802,5.1854,5.1802,976368
1537888320,2018-09-25 23:12:00,EOSUSDT,5.1862,5.1753,5.1803,5.181,14805.55,2018-09-25,23:12:00,5.1862,5.1753,5.1803,5.181,1480555
1537888380,2018-09-25 23:13:00,EOSUSDT,5.1844,5.1635,5.18,5.1761,30150.92,2018-09-25,23:13:00,5.1844,5.1635,5.18,5.1761,3015092
1537888440,2018-09-25 23:14:00,EOSUSDT,5.1801,5.1685,5.176,5.1763,5177.16,2018-09-25,23:14:00,5.1801,5.1685,5.176,5.1763,517716
1537888500,2018-09-25 23:15:00,EOSUSDT,5.1888,5.1773,5.1773,5.1842,3629.89,2018-09-25,23:15:00,5.1888,5.1773,5.1773,5.1842,362989
